Time,T1,T2,T3,T4
25,49.80183,49.7825,49.69923,49.501835
50,49.647736,49.534588,49.239414,48.818565
75,49.502827,49.278606,48.78309,48.208603
100,49.357426,49.027603,48.349525,47.536495
125,49.212997,48.796917,47.924374,46.84169
150,49.070484,48.572704,47.49986,46.14378
175,48.929886,48.351093,47.07135,45.451366
200,48.794025,48.135105,46.644375,44.757465
225,48.66028,47.92144,46.211037,44.04335
250,48.528835,47.710163,45.7806,43.335705
275,48.398937,47.50095,45.348736,42.629078
300,48.270138,47.292915,44.92491,41.93993
325,48.142426,47.08514,44.49951,41.253567
350,48.015694,46.87786,44.082085,40.58384
375,47.889908,46.672153,43.6611,39.924625
400,47.764847,46.468346,43.24818,39.26223
425,47.64046,46.2655,42.832134,38.634388
450,47.516655,46.062553,42.425648,38.01208
475,47.393402,45.860172,42.01472,37.383083
500,47.270657,45.65956,41.613937,36.78514
525,47.14837,45.46059,41.209118,36.171135
550,47.02653,45.262085,40.816513,35.586517
575,46.905125,45.06362,40.419178,35.001194
600,46.784096,44.86616,40.026714,34.45006
625,46.663475,44.670395,39.63657,33.88111
650,46.5432,44.47576,39.24637,33.29934
675,46.423264,44.281292,38.87083,32.717957
700,46.303627,44.087193,38.487816,32.223114
725,46.1844,43.89441,38.112396,31.730833
750,46.065487,43.703125,37.75252,31.24546
775,45.94691,43.512493,37.3871,30.765993
800,45.828663,43.322014,37.03428,30.265984
825,45.710747,43.13229,36.67118,29.767784
850,45.59313,42.94406,36.31513,29.290743
875,45.475834,42.756954,35.959064,28.814655
900,45.358837,42.570194,35.608032,28.348803
925,45.242138,42.383785,35.272293,27.892458
950,45.125744,42.19846,34.92743,27.434332
975,45.009686,42.014492,34.59169,26.984035
1000,44.89391,41.831306,34.2515,26.547949
1025,44.77845,41.648384,33.918297,26.119074
1050,44.66327,41.4661,33.594448,25.6764
1075,44.548386,41.28507,33.26349,25.279545
1100,44.43381,41.10518,32.93951,24.876614
1125,44.31953,40.92578,32.621136,24.46457
1150,44.20556,40.74674,32.31177,24.060698
1175,44.091877,40.568592,31.99964,23.673624
1200,43.978493,40.391705,31.68798,23.2796
1225,43.865417,40.2157,31.383615,22.913946
1250,43.7526,40.040005,31.074484,22.538181
1275,43.64011,39.864853,30.77316,22.157452
1300,43.527912,39.69077,30.467203,21.809841
1325,43.416,39.517796,30.170206,21.455723
1350,43.304306,39.345444,29.884684,21.105885
1375,43.192898,39.17346,29.592113,20.753487
1400,43.08182,39.002182,29.306671,20.428032
1425,42.97102,38.832047,29.01848,20.069666
1450,42.86049,38.662838,28.734926,19.762848
1475,42.750233,38.49409,28.457117,19.45461
1500,42.64027,38.325787,28.17413,19.151617
1525,42.530605,38.158382,27.895775,18.84785
1550,42.421215,37.992035,27.631472,18.5419
1575,42.312115,37.826424,27.363003,18.238632
1600,42.20331,37.661205,27.102755,17.943335
1625,42.094753,37.496574,26.835646,17.648855
1650,41.98648,37.332947,26.578009,17.342556
1675,41.878464,37.170258,26.317036,17.072361
1700,41.77074,37.008133,26.058525,16.8128
1725,41.6633,36.846413,25.801516,16.54202
1750,41.556137,36.685436,25.552032,16.269764
1775,41.44926,36.525467,25.306433,15.972613
1800,41.342644,36.366272,25.058863,15.7285595
1825,41.236298,36.20754,24.814795,15.486068
1850,41.130238,36.049305,24.575006,15.249731
1875,41.024452,35.891933,24.33128,15.01231
1900,40.918915,35.735485,24.09501,14.754777
1925,40.813667,35.57969,23.858194,14.520335
1950,40.7087,35.424324,23.625965,14.28645
1975,40.604004,35.269554,23.399786,14.048906
2000,40.499634,35.11567,23.166655,13.828623
2025,40.395485,34.96266,22.93853,13.594768
2050,40.291534,34.810146,22.720835,13.356546
2075,40.187843,34.658077,22.500904,13.151026
2100,40.084457,34.506714,22.28625,12.947235
2125,39.981342,34.356266,22.065918,12.746134
2150,39.87849,34.206528,21.853909,12.537429
2175,39.77592,34.05725,21.63816,12.335916
2200,39.673603,33.908485,21.425323,12.127092
2225,39.57154,33.760483,21.215725,11.940052
2250,39.469753,33.61335,21.00804,11.747897
2275,39.368237,33.46681,20.808224,11.551958
2300,39.26696,33.320694,20.601252,11.370442
2325,39.165966,33.175167,20.399473,11.185523
2350,39.065228,33.0305,20.203642,11.000911
2375,38.96474,32.88653,20.008677,10.819581
2400,38.864494,32.743073,19.817865,10.647922
2425,38.764534,32.600082,19.622526,10.475307
2450,38.66482,32.45774,19.43415,10.301211
2475,38.565365,32.31625,19.244415,10.127996
2500,38.466167,32.175407,19.055975,9.973366
2525,38.367237,32.03503,18.871574,9.818631
2550,38.268562,31.895126,18.686531,9.667959
2575,38.170135,31.75593,18.506098,9.520068
2600,38.07193,31.617514,18.32231,9.363453
2625,37.974,31.479681,18.141788,9.2103
2650,37.876328,31.342268,17.969942,9.057682
2675,37.778908,31.20541,17.7951,8.916586
2700,37.681744,31.069323,17.625584,8.769564
2725,37.584846,30.933907,17.451132,8.6212
2750,37.488216,30.799006,17.281052,8.477724
2775,37.391853,30.66453,17.114353,8.348323
2800,37.29567,30.530664,16.945637,8.219723
2825,37.19969,30.397552,16.782787,8.092105
2850,37.10394,30.265068,16.617722,7.962647
2875,37.008484,30.133022,16.457113,7.8248596
2900,36.91329,30.001446,16.301441,7.7039347
2925,36.81832,29.870533,16.140863,7.5825305
2950,36.723618,29.740341,15.983952,7.4594893
2975,36.62919,29.610703,15.827595,7.3379474
3000,36.53499,29.48146,15.67391,7.2195153
3025,36.44098,29.352745,15.518171,7.103016
3050,36.34724,29.2247,15.366576,6.988709
3075,36.253746,29.097345,15.220216,6.873418
3100,36.160473,28.970465,15.072731,6.758566
3125,36.06744,28.843987,14.927505,6.652319
3150,35.974648,28.71808,14.781785,6.541381
3175,35.882137,28.592861,14.636132,6.439315
3200,35.78986,28.468243,14.496034,6.3323927
3225,35.69779,28.344074,14.352686,6.233398
3250,35.605934,28.220316,14.212353,6.1295557
3275,35.514328,28.097168,14.077793,6.0295954
3300,35.42297,27.974703,13.941348,5.93155
3325,35.33185,27.852768,13.810061,5.834135
3350,35.240955,27.731232,13.673879,5.739088
3375,35.150303,27.610155,13.542114,5.6476045
3400,35.05989,27.489725,13.408948,5.556485
3425,34.96971,27.369917,13.277364,5.465457
3450,34.879757,27.250587,13.149,5.374419
3475,34.790012,27.131636,13.019051,5.2884336
3500,34.70053,27.01321,12.892562,5.2006516
3525,34.61129,26.895416,12.767127,5.1189246
3550,34.522263,26.778215,12.641513,5.0384097
3575,34.433468,26.661432,12.516558,4.953079
3600,34.34494,26.545048,12.395447,4.8754597
3625,34.256626,26.429195,12.277376,4.7978287
3650,34.168537,26.313986,12.15933,4.712529
3675,34.08064,26.199297,12.041214,4.6367397
3700,33.992886,26.08499,11.925996,4.5654254
